begin,end,participant,utterance,source,utterance_raw,language,corpus,duration,uid,nature,utterance_stripped,nwords,nchar,n,rank,freq,overlap,priorby,FTO,overlapped,talk_all,talk_rel,load,transitions,turns_all,turns_rel,participants,rank_perc,freq_perc
0,2696,spreker1 [v] (TIE0),asking*v dat is ook heel grappig want dat zie je overal uhm,/dutch2/DVA13U,asking*v dat is ook heel grappig want dat zie je overal uhm,dutch,dutch2,2696,dutch-04-001-0,talk,asking*v dat is ook heel grappig want dat zie je overal uhm,12,59,1,205,1.5556098217596995e-10,NA,self,NA,NA,2696,1,1,0,1,1,1,99,69
3088,3827,spreker1 [v] (TIE0),in de metro,/dutch2/DVA13U,in de metro,dutch,dutch2,739,dutch-04-002-3088,talk,in de metro,3,11,1,205,1.5556098217596995e-10,NA,self,NA,NA,3435,1,0.897569898092501,0,2,1,1,99,69
3827,5119,spreker1 [v] (TIE0),zie je van die uhm,/dutch2/DVA13U,zie je van die uhm,dutch,dutch2,1292,dutch-04-003-3827,talk,zie je van die uhm,5,18,1,205,1.5556098217596995e-10,NA,self,NA,NA,4727,1,0.923422543465521,0,3,1,1,99,69
6030,8777,spreker1 [v] (TIE0),uh nou ja je heb je een busking*v pitch*v dat is dan,/dutch2/DVA13U,uh nou ja je heb je een busking*v pitch*v dat is dan,dutch,dutch2,2747,dutch-04-004-6030,talk,uh nou ja je heb je een busking*v pitch*v dat is dan,12,52,1,205,1.5556098217596995e-10,NA,self,NA,NA,7474,1,0.851543807679161,0,4,1,1,99,69
8777,9469,spreker1 [v] (TIE0),bij 'n muur,/dutch2/DVA13U,bij 'n muur,dutch,dutch2,692,dutch-04-005-8777,talk,bij 'n muur,3,11,1,205,1.5556098217596995e-10,NA,self,NA,NA,8166,1,0.862393072130109,0,5,1,1,99,69
9469,11223,spreker1 [v] (TIE0),of in in 'n hal of onderaan een roltrap,/dutch2/DVA13U,of in in 'n hal of onderaan een roltrap,dutch,dutch2,1754,dutch-04-006-9469,talk,of in in 'n hal of onderaan een roltrap,9,39,1,205,1.5556098217596995e-10,NA,self,NA,NA,9920,1,0.883899135703466,0,6,1,1,99,69
11465,12481,spreker1 [v] (TIE0),heb je 'n half cirkeltje,/dutch2/DVA13U,heb je 'n half cirkeltje,dutch,dutch2,1016,dutch-04-007-11465,talk,heb je 'n half cirkeltje,5,24,1,205,1.5556098217596995e-10,NA,self,NA,NA,8240,1,0.877249015224103,0,6,1,1,99,69
12873,14477,spreker1 [v] (TIE0),en dat dat staat dan uh,/dutch2/DVA13U,en dat dat staat dan uh,dutch,dutch2,1604,dutch-04-008-12873,talk,en dat dat staat dan uh,6,23,1,205,1.5556098217596995e-10,NA,self,NA,NA,9844,1,0.86434278689964,0,7,1,1,99,69
14477,16091.999999999998,spreker1 [v] (TIE0),keep*v the*v music*v alive*v of weet ik veel,/dutch2/DVA13U,keep*v the*v music*v alive*v of weet ik veel,dutch,dutch2,1614.9999999999982,dutch-04-009-14477,talk,keep*v the*v music*v alive*v of weet ik veel,8,44,1,205,1.5556098217596995e-10,NA,self,NA,overlapped,9428,1,0.93699065792089,0,6,1,1,99,69
15735,16138.000000000002,spreker2 [v] (TIE2),ja,/dutch2/DVA13U,ja,dutch,dutch2,403.0000000000018,dutch-04-010-15735,talk,ja,1,2,77862,1,1.2112289194185375e-5,partial,other,-356.9999999999982,NA,9831,0.0409927779473095,0.972595963593194,1,7,0.142857142857143,2,10,100
16392,17650,spreker1 [v] (TIE0),en dan staat er ook 'n bordje bij,/dutch2/DVA13U,en dan staat er ook 'n bordje bij,dutch,dutch2,1258,dutch-04-011-16392,talk,en dan staat er ook 'n bordje bij,8,33,1,205,1.5556098217596995e-10,NA,other,253.99999999999815,NA,8342,0.951690242148166,0.940155528006311,2,7,0.857142857142857,2,99,69
17650,19204,spreker1 [v] (TIE0),busking*v pitch*v nummer één,/dutch2/DVA13U,busking*v pitch*v nummer één,dutch,dutch2,1554,dutch-04-012-17650,talk,busking*v pitch*v nummer één,4,28,1,205,1.5556098217596995e-10,NA,self,NA,NA,9896,0.959276475343573,0.949074518078067,2,8,0.875,2,99,69
19204,20923,spreker1 [v] (TIE0),of basking*v pitch*v nummer twee,/dutch2/DVA13U,of basking*v pitch*v nummer twee,dutch,dutch2,1719,dutch-04-013-19204,talk,of basking*v pitch*v nummer twee,5,32,1,205,1.5556098217596995e-10,NA,self,NA,NA,10923,0.963105373981507,0.953640649554741,2,8,0.875,2,99,69
21546,23461,spreker1 [v] (TIE0),en uhm dan kan je je via internet,/dutch2/DVA13U,en uhm dan kan je je via internet,dutch,dutch2,1915,dutch-04-014-21546,talk,en uhm dan kan je je via internet,8,33,1,205,1.5556098217596995e-10,NA,self,NA,NA,10068,0.959972189114025,0.950887797506611,2,7,0.857142857142857,2,99,69
24142,24696,spreker1 [v] (TIE0),aanmelden,/dutch2/DVA13U,aanmelden,dutch,dutch2,554,dutch-04-015-24142,talk,aanmelden,1,9,2,204,3.111219643519399e-10,NA,self,NA,NA,9018,0.955311599024174,0.882473823270379,2,7,0.857142857142857,2,31,72
24696,27269,spreker1 [v] (TIE0),heb je 'n heel rooster en d'r zijn ook regels dus dat je niet,/dutch2/DVA13U,heb je 'n heel rooster en d'r zijn ook regels dus dat je niet,dutch,dutch2,2573,dutch-04-016-24696,talk,heb je 'n heel rooster en d'r zijn ook regels dus dat je niet,14,61,1,205,1.5556098217596995e-10,NA,self,NA,NA,9976,0.959603047313553,0.864921102826426,1,7,0.857142857142857,2,99,69
27661,29143,spreker1 [v] (TIE0),iedere woensdag om twaalf uur,/dutch2/DVA13U,iedere woensdag om twaalf uur,dutch,dutch2,1482,dutch-04-017-27661,talk,iedere woensdag om twaalf uur,5,29,1,205,1.5556098217596995e-10,NA,self,NA,NA,8243,1,0.829359090451756,0,5,1,1,99,69
29143,30493,spreker1 [v] (TIE0),op hetzelfde station mag,/dutch2/DVA13U,op hetzelfde station mag,dutch,dutch2,1350,dutch-04-018-29143,talk,op hetzelfde station mag,4,24,1,205,1.5556098217596995e-10,NA,self,NA,NA,9593,1,0.849765258215962,0,6,1,1,99,69
30493,33066,spreker1 [v] (TIE0),en ook niet twee keer achter elkaar op dezelfde pitch*v en,/dutch2/DVA13U,en ook niet twee keer achter elkaar op dezelfde pitch*v en,dutch,dutch2,2573,dutch-04-019-30493,talk,en ook niet twee keer achter elkaar op dezelfde pitch*v en,11,58,1,205,1.5556098217596995e-10,NA,self,NA,overlapped,10447,1,0.906857638888889,0,6,1,1,99,69
30574,30816,spreker2 [v] (TIE2),ja,/dutch2/DVA13U,ja,dutch,dutch2,242,dutch-04-020-30574,talk,ja,1,2,77862,1,1.2112289194185375e-5,full,other,81,NA,10689,0.0226400972962859,0.927864583333333,1,7,0.142857142857143,2,10,100
34024,35039,spreker1 [v] (TIE0),nou dit en dat dus,/dutch2/DVA13U,nou dit en dat dus,dutch,dutch2,1015,dutch-04-021-34024,talk,nou dit en dat dus,5,18,1,205,1.5556098217596995e-10,NA,other,3208,NA,9789,0.975278373684748,0.898320638707901,2,7,0.857142857142857,2,99,69
35755,37878,spreker1 [v] (TIE0),hè om iedereen een beetje gelijke kansen te geven,/dutch2/DVA13U,hè om iedereen een beetje gelijke kansen te geven,dutch,dutch2,2123,dutch-04-022-35755,talk,hè om iedereen een beetje gelijke kansen te geven,9,49,1,205,1.5556098217596995e-10,NA,self,NA,NA,8785,0.972453044963005,0.859841440736028,2,6,0.833333333333333,2,99,69
38696,39722,spreker1 [v] (TIE0),en uhm,/dutch2/DVA13U,en uhm,dutch,dutch2,1026,dutch-04-023-38696,talk,en uhm,2,6,998,23,1.5524986021161806e-07,NA,self,NA,NA,8329,0.970944891343499,0.787314490972682,2,6,0.833333333333333,2,19,82
40865,41419,spreker1 [v] (TIE0),dan moet je,/dutch2/DVA13U,dan moet je,dutch,dutch2,554,dutch-04-024-40865,talk,dan moet je,3,11,6,200,9.333658930558198e-10,NA,self,NA,overlapped,4718,1,0.637998647734956,0,4,1,1,28,74
41107,44280,spreker2 [v] (TIE2),dus eigenlijk een beetje 'n geupgrade*n versie van straatmuzikant zijn,/dutch2/DVA13U,dus eigenlijk een beetje 'n geupgrade*n versie van straatmuzikant zijn,dutch,dutch2,3173,dutch-04-025-41107,talk,dus eigenlijk een beetje 'n geupgrade*n versie van straatmuzikant zijn,10,70,1,205,1.5556098217596995e-10,partial,other,-312,overlapped,7891,0.402103662400203,0.769403276131045,1,5,0.2,2,99,69
43899,44384,spreker1 [v] (TIE0),ja,/dutch2/DVA13U,ja,dutch,dutch2,485,dutch-04-026-43899,talk,ja,1,2,77862,1,1.2112289194185375e-5,partial,other,-381,NA,8376,0.621179560649475,0.80849420849420806,2,6,0.833333333333333,2,10,100
44661,44915,spreker1 [v] (TIE0),precies,/dutch2/DVA13U,precies,dutch,dutch2,254,dutch-04-027-44661,talk,precies,1,7,249,56,3.8734684561816533e-8,NA,self,NA,NA,7615,0.583322390019698,0.831331877729258,2,6,0.833333333333333,2,21,80
44915,46346,spreker1 [v] (TIE0),nou wat 't natuurlijk is,/dutch2/DVA13U,nou wat 't natuurlijk is,dutch,dutch2,1431,dutch-04-028-44915,talk,nou wat 't natuurlijk is,5,24,1,205,1.5556098217596995e-10,NA,self,NA,NA,9046,0.649237231925713,0.854121423850439,2,7,0.857142857142857,2,99,69
46438,47384,spreker2 [v] (TIE2),gereguleerd,/dutch2/DVA13U,gereguleerd,dutch,dutch2,946,dutch-04-029-46438,talk,gereguleerd,1,11,1,205,1.5556098217596995e-10,NA,other,92,overlapped,7869,0.523446435379337,0.905732044198895,3,7,0.285714285714286,2,99,69
46726,47753,spreker1 [v] (TIE0),is dat er ja,/dutch2/DVA13U,is dat er ja,dutch,dutch2,1027,dutch-04-030-46726,talk,is dat er ja,4,12,1,205,1.5556098217596995e-10,partial,other,-658,NA,8896,0.536982913669065,0.982223694380038,4,8,0.75,2,99,69
47753,49192,spreker1 [v] (TIE0),dat 't natuurlijk gewoon gereguleerd is,/dutch2/DVA13U,dat 't natuurlijk gewoon gereguleerd is,dutch,dutch2,1439,dutch-04-031-47753,talk,dat 't natuurlijk gewoon gereguleerd is,6,39,1,205,1.5556098217596995e-10,NA,self,NA,NA,10335,0.601451378809869,0.984660823170732,4,9,0.777777777777778,2,99,69
49192,50392,spreker1 [v] (TIE0),ik bedoel zijn veel mensen die toch,/dutch2/DVA13U,ik bedoel zijn veel mensen die toch,dutch,dutch2,1200,dutch-04-032-49192,talk,ik bedoel zijn veel mensen die toch,7,35,1,205,1.5556098217596995e-10,NA,self,NA,NA,10509,0.608050242649158,1.10307546971764,4,9,0.777777777777778,2,99,69
51199,52468,spreker1 [v] (TIE0),in die metro willen spelen,/dutch2/DVA13U,in die metro willen spelen,dutch,dutch2,1269,dutch-04-033-51199,talk,in die metro willen spelen,5,26,1,205,1.5556098217596995e-10,NA,self,NA,NA,8051,0.882499068438703,0.93954953903606,2,8,0.875,2,99,69
52468,54499,spreker1 [v] (TIE0),en op deze manier proberen ze dat te reguleren,/dutch2/DVA13U,en op deze manier proberen ze dat te reguleren,dutch,dutch2,2031,dutch-04-034-52468,talk,en op deze manier proberen ze dat te reguleren,9,46,1,205,1.5556098217596995e-10,NA,self,NA,overlapped,10082,0.906169410831184,0.951132075471698,2,9,0.888888888888889,2,99,69
